player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
235178,Miho Takahashi,F,Japan,JPN,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Individual Medley,No medal
235179,Miyuki Takahashi,F,Japan,JPN,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,No medal
235180,Miyuki Takahashi,F,Japan,JPN,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,No medal
235181,Miyuki Takahashi,F,Japan,JPN,1964,Summer,Tokyo,Athletics,Athletics Women's Pentathlon,No medal
235182,Naoko Takahashi,F,Japan,JPN,2000,Summer,Sydney,Athletics,Athletics Women's Marathon,Gold
235185,Philip Takahashi,M,Canada,CAN,1984,Summer,Los Angeles,Judo,Judo Men's Extra-Lightweight,No medal
235186,Philip Takahashi,M,Canada,CAN,1988,Summer,Seoul,Judo,Judo Men's Extra-Lightweight,No medal
235187,Raymond Takahashi,M,Canada,CAN,1976,Summer,Montreal,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",No medal
235188,Raymond Takahashi,M,Canada,CAN,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Freestyle",No medal
235189,Rokuro Takahashi,M,Japan,JPN,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Fours,No medal
235197,Shigehiro Takahashi,M,Japan,JPN,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,No medal
235198,Shigehiro Takahashi,M,Japan,JPN,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,No medal
235199,Shigehiro Takahashi,M,Japan,JPN,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal
235200,Shigehiro Takahashi,M,Japan,JPN,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Breaststroke,No medal
235201,Shinji Takahashi,M,Japan,JPN,1964,Summer,Tokyo,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal
235204,Susumu Takahashi,M,Japan,JPN,1952,Summer,Helsinki,Athletics,"Athletics Men's 3,000 metres Steeplechase",No medal
235206,Tomomi Takahashi,M,Japan,JPN,1984,Summer,Los Angeles,Athletics,Athletics Men's Pole Vault,No medal
235207,Toshio Takahashi,M,Japan,JPN,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,No medal
235208,Yoshiaki Takahashi,M,Japan,JPN,1988,Summer,Seoul,Boxing,Boxing Men's Welterweight,No medal
235209,Yoshie Takahashi,F,Japan,JPN,1956,Summer,Melbourne,Athletics,Athletics Women's Long Jump,No medal
235210,Yoshinobu Takahashi,M,Japan,JPN,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze
235211,Yukiko Takahashi,F,Japan,JPN,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,No medal
235212,Yukiko Takahashi,F,Japan,JPN,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,No medal
235213,Yukiko Takahashi,F,Japan-1,JPN,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No medal
235214,Yukiko Takahashi,F,Japan-1,JPN,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No medal
235215,Yuriko Takahashi,F,Japan,JPN,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Lightweight,No medal
235216,Zenjiro Takahashi,M,Japan,JPN,1932,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,No medal
235217,Zenjiro Takahashi,M,Japan,JPN,1936,Summer,Berlin,Water Polo,Water Polo Men's Water Polo,No medal
235218,Masatoshi Takahira,M,Japan,JPN,1960,Summer,Roma,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",No medal
235219,Shinji Takahira,M,Japan,JPN,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,No medal
235220,Shinji Takahira,M,Japan,JPN,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
235221,Shinji Takahira,M,Japan,JPN,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,No medal
235222,Shinji Takahira,M,Japan,JPN,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
235223,Shinji Takahira,M,Japan,JPN,2012,Summer,London,Athletics,Athletics Men's 200 metres,No medal
235224,Shinji Takahira,M,Japan,JPN,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
235225,Katsuo Takaishi,M,Japan,JPN,1924,Summer,Paris,Swimming,Swimming Men's 100 metres Freestyle,No medal
235226,Katsuo Takaishi,M,Japan,JPN,1924,Summer,Paris,Swimming,"Swimming Men's 1,500 metres Freestyle",No medal
235227,Katsuo Takaishi,M,Japan,JPN,1924,Summer,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal
235228,Katsuo Takaishi,M,Japan,JPN,1928,Summer,Amsterdam,Swimming,Swimming Men's 100 metres Freestyle,Bronze
235229,Katsuo Takaishi,M,Japan,JPN,1928,Summer,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle,No medal
235230,Katsuo Takaishi,M,Japan,JPN,1928,Summer,Amsterdam,Swimming,"Swimming Men's 1,500 metres Freestyle",No medal
235231,Katsuo Takaishi,M,Japan,JPN,1928,Summer,Amsterdam,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
235232,Masato Takaki,M,Japan,JPN,1996,Summer,Atlanta,Sailing,Sailing Men's Two Person Dinghy,No medal
235233,Masato Takaki,M,Japan,JPN,2004,Summer,Athina,Sailing,Sailing Mixed Skiff,No medal
235234,Asako Takakura,F,Japan,JPN,1996,Summer,Atlanta,Football,Football Women's Football,No medal
235235,Ken Takakuwa,M,Japan,JPN,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,No medal
235236,Ken Takakuwa,M,Japan,JPN,2012,Summer,London,Swimming,Swimming Men's 200 metres Individual Medley,No medal
235237,August Takala,M,Finland,FIN,1924,Summer,Paris,Athletics,Athletics Men's Shot Put,No medal
