atleta_nome,genero,year,pais,noc,temporada,cidade,esporte,evento,medalha
Zygfryd Szotysik,Masculino,1972,Poland,POL,Summer,Munich,FOOTBALL,Football Men's Football,Ouro
Eulalia (-caban),Feminino,1952,Poland,POL,Summer,Helsinki,ATHLETICS,Athletics Women's 200 metres,Nenhuma Medalha
Tai Tzu-ying,Feminino,2016,Chinese Taipei,TPE,Summer,Rio de Janeiro,BADMINTON,Badminton Women's Singles,Nenhuma Medalha
Shinji Takahira,Masculino,2004,Japan,JPN,Summer,Athina,ATHLETICS,Athletics Men's 200 metres,Nenhuma Medalha
Toshinari Takaoka,Masculino,2000,Japan,JPN,Summer,Sydney,ATHLETICS,"Athletics Men's 10,000 metres",Nenhuma Medalha
Naohisa Takato,Masculino,2016,Japan,JPN,Summer,Rio de Janeiro,JUDO,Judo Men's Extra-Lightweight,Bronze
Masao Takemoto,Masculino,1952,Japan,JPN,Summer,Helsinki,GYMNASTICS,Gymnastics Men's Rings,Nenhuma Medalha
Kensuke Takezawa,Masculino,2008,Japan,JPN,Summer,Beijing,ATHLETICS,"Athletics Men's 10,000 metres",Nenhuma Medalha
Riardas Tamulis,Masculino,1964,Soviet Union,URS,Summer,Tokyo,BOXING,Boxing Men's Welterweight,Prata
Tan Zongliang,Masculino,2000,China,CHN,Summer,Sydney,SHOOTING,"Shooting Men's Air Pistol, 10 metres",Nenhuma Medalha
Bahri Tanrkulu,Masculino,2012,Turkey,TUR,Summer,London,TAEKWONDO,Taekwondo Men's Heavyweight,Nenhuma Medalha
Jevon Tarantino,Masculino,2008,United States,USA,Summer,Beijing,DIVING,Diving Men's Synchronized Springboard,Nenhuma Medalha
Grigory Tarasevich,Masculino,2016,Russia,RUS,Summer,Rio de Janeiro,SWIMMING,Swimming Men's 4 x 100 metres Medley Relay,Nenhuma Medalha
Miranda Tatari,Feminino,2012,Croatia,CRO,Summer,London,HANDBALL,Handball Women's Handball,Nenhuma Medalha
Frank Taubert,Masculino,1976,East Germany,GDR,Summer,Montreal,DIVING,Diving Men's Springboard,Nenhuma Medalha
Norman Taylor,Masculino,1924,Canada,CAN,Summer,Paris,ROWING,Rowing Men's Coxed Eights,Prata
Peter Taylor,Masculino,2016,New Zealand,NZL,Summer,Rio de Janeiro,ROWING,Rowing Men's Lightweight Coxless Fours,Nenhuma Medalha
Gerardus Tebroke,Masculino,1980,Netherlands,NED,Summer,Moskva,ATHLETICS,"Athletics Men's 10,000 metres",Nenhuma Medalha
Ken Terauchi,Masculino,1996,Japan,JPN,Summer,Atlanta,DIVING,Diving Men's Platform,Nenhuma Medalha
Esperanza Rolando,Feminino,1992,Spain,ESP,Summer,Barcelona,HANDBALL,Handball Women's Handball,Nenhuma Medalha
Theodorus Terlingen,Masculino,1964,Netherlands,NED,Summer,Tokyo,HOCKEY,Hockey Men's Hockey,Nenhuma Medalha
Niki Terpstra,Masculino,2008,Netherlands,NED,Summer,Beijing,CYCLING,"Cycling Men's Road Race, Individual",Nenhuma Medalha
Mesfen Tesfaye,Masculino,1956,Ethiopia,ETH,Summer,Melbourne,CYCLING,"Cycling Men's Road Race, Individual",Nenhuma Medalha
Thein Myint,Masculino,1960,Myanmar,MYA,Summer,Roma,BOXING,Boxing Men's Bantamweight,Nenhuma Medalha
Masempe Theko,Feminino,2012,Lesotho,LES,Summer,London,SWIMMING,Swimming Women's 50 metres Freestyle,Nenhuma Medalha
John Thomas,Masculino,1960,United States,USA,Summer,Roma,ATHLETICS,Athletics Men's High Jump,Bronze
Georg Thomas,Masculino,1936,Germany,GER,Summer,Berlin,ART COMPETITIONS,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Prata
Graham Thompson,Masculino,1988,Zimbabwe,ZIM,Summer,Seoul,SWIMMING,Swimming Men's 50 metres Freestyle,Nenhuma Medalha
Marc Thompson,Masculino,1976,United States,USA,Summer,Montreal,CYCLING,Cycling Men's 100 kilometres Team Time Trial,Nenhuma Medalha
Rachel Thompson,Feminino,1988,Sierra Leone,SLE,Summer,Seoul,ATHLETICS,"Athletics Women's 1,500 metres",Nenhuma Medalha
Rolf Thorsen,Masculino,1992,Norway,NOR,Summer,Barcelona,ROWING,Rowing Men's Quadruple Sculls,Prata
Rolf Thorstvedt,Masculino,1920,Norway,NOR,Summer,Antwerpen,FOOTBALL,Football Men's Football,Nenhuma Medalha
Amde Thub,Masculino,1912,Mac Miche,FRA,Summer,Stockholm,SAILING,Sailing Mixed 6 metres,Ouro
Hilmar Orbjrnsson,Masculino,1956,Iceland,ISL,Summer,Melbourne,ATHLETICS,Athletics Men's 100 metres,Nenhuma Medalha
Manfred Tiedtke,Masculino,1968,East Germany,GDR,Summer,Mexico City,ATHLETICS,Athletics Men's Decathlon,Nenhuma Medalha
Imre Tiidemann,Masculino,1996,Estonia,EST,Summer,Atlanta,MODERN PENTATHLON,Modern Pentathlon Men's Individual,Nenhuma Medalha
Tatyana Titova,Feminino,1988,Soviet Union,URS,Summer,Seoul,SYNCHRONIZED SWIMMING,Synchronized Swimming Women's Solo,Nenhuma Medalha
Mihai Iu,Masculino,1976,Romania,ROU,Summer,Montreal,FENCING,"Fencing Men's Foil, Team",Nenhuma Medalha
Todor Todorov,Masculino,1952,Bulgaria,BUL,Summer,Helsinki,GYMNASTICS,Gymnastics Men's Rings,Nenhuma Medalha
Pavel Tonkov,Masculino,2000,Russia,RUS,Summer,Sydney,CYCLING,"Cycling Men's Road Race, Individual",Nenhuma Medalha
Hjrdis Tpel,Feminino,1928,Sweden,SWE,Summer,Amsterdam,DIVING,Diving Women's Platform,Nenhuma Medalha
Tassos Topsidellis,Masculino,1906,Greece,GRE,Summer,Athina,ATHLETICS,Athletics Men's Marathon,Nenhuma Medalha
Jane Trnqvist,Feminino,2004,Sweden,SWE,Summer,Athina,FOOTBALL,Football Women's Football,Nenhuma Medalha
Juan Daz,Masculino,1984,Spain,ESP,Summer,Los Angeles,ATHLETICS,"Athletics Men's 3,000 metres Steeplechase",Nenhuma Medalha
Lajos Tth,Masculino,1948,Hungary,HUN,Summer,London,GYMNASTICS,Gymnastics Men's Pommelled Horse,Nenhuma Medalha
Kiichiro Toyama,Masculino,1936,Japan,JPN,Summer,Berlin,GYMNASTICS,Gymnastics Men's Team All-Around,Nenhuma Medalha
Samachai Trangjaroenngarm,Masculino,1976,Thailand,THA,Summer,Montreal,FENCING,"Fencing Men's epee, Team",Nenhuma Medalha
Petar Trbojevi,Masculino,2004,Serbia and Montenegro,SCG,Summer,Athina,WATER POLO,Water Polo Men's Water Polo,Prata
Alyxandria Treasure,Feminino,2016,Canada,CAN,Summer,Rio de Janeiro,ATHLETICS,Athletics Women's High Jump,Nenhuma Medalha
Matthias Triantafyllidis,Masculino,1906,Greece,GRE,Summer,Athina,SHOOTING,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Nenhuma Medalha
Josef Trousil,Masculino,1960,Czechoslovakia,TCH,Summer,Roma,ATHLETICS,Athletics Men's 4 x 400 metres Relay,Nenhuma Medalha
Tu Chih-chen,Masculino,1984,Chinese Taipei,TPE,Summer,Los Angeles,ARCHERY,Archery Men's Individual,Nenhuma Medalha
Aleksandr Tuchkin,Masculino,1988,Soviet Union,URS,Summer,Seoul,HANDBALL,Handball Men's Handball,Ouro
Daulet Turlykhanov,Masculino,1988,Soviet Union,URS,Summer,Seoul,WRESTLING,"Wrestling Men's Welterweight, Greco-Roman",Prata
William Turpin,Masculino,1964,Zimbabwe,ZIM,Summer,Tokyo,HOCKEY,Hockey Men's Hockey,Nenhuma Medalha
Erik Uddebom,Masculino,1956,Sweden,SWE,Summer,Melbourne,ATHLETICS,Athletics Men's Discus Throw,Nenhuma Medalha
Alfredo Ugarte,Masculino,1924,Chile,CHI,Summer,Paris,ATHLETICS,Athletics Men's 110 metres Hurdles,Nenhuma Medalha
Martti Uosikkinen,Masculino,1936,Finland,FIN,Summer,Berlin,GYMNASTICS,Gymnastics Men's Floor Exercise,Nenhuma Medalha
Marian Urdabayeva,Feminino,2016,Kazakhstan,KAZ,Summer,Rio de Janeiro,JUDO,Judo Women's Half-Middleweight,Nenhuma Medalha
Yoandri Cobas,Masculino,2004,Cuba,CUB,Summer,Athina,BASEBALL,Baseball Men's Baseball,Ouro
Julia Madruga,Feminino,1960,Cuba,CUB,Summer,Roma,GYMNASTICS,Gymnastics Women's Individual All-Around,Nenhuma Medalha
Jorge Merino,Masculino,1968,Mexico,MEX,Summer,Mexico City,SWIMMING,Swimming Men's 4 x 200 metres Freestyle Relay,Nenhuma Medalha
Ivan Usov,Masculino,2004,Russia,RUS,Summer,Athina,SWIMMING,Swimming Men's 4 x 100 metres Freestyle Relay,Nenhuma Medalha
Pentti Uusihauta,Masculino,1952,Finland,FIN,Summer,Helsinki,ATHLETICS,Athletics Men's Triple Jump,Nenhuma Medalha
Pl Vg,Masculino,1932,Hungary,HUN,Summer,Los Angeles,ART COMPETITIONS,"Art Competitions Mixed Architecture, Unknown Event",Nenhuma Medalha
Franziska Almsick,Feminino,1992,Germany,GER,Summer,Barcelona,SWIMMING,Swimming Women's 50 metres Freestyle,Nenhuma Medalha
James Boven,Masculino,1968,United States,USA,Summer,Mexico City,CYCLING,Cycling Men's 100 kilometres Team Time Trial,Nenhuma Medalha
Gustaaf Cauter,Masculino,1972,Belgium,BEL,Summer,Munich,CYCLING,Cycling Men's 100 kilometres Team Time Trial,Nenhuma Medalha
Peter Abeele,Masculino,1996,Belgium,BEL,Summer,Atlanta,CYCLING,"Cycling Men's Mountainbike, Cross-Country",Nenhuma Medalha
Chantal Landeghem,Feminino,2016,Canada,CAN,Summer,Rio de Janeiro,SWIMMING,Swimming Women's 100 metres Freestyle,Nenhuma Medalha
Petronella Kleef),Feminino,1984,Netherlands,NED,Summer,Los Angeles,SWIMMING,Swimming Women's 100 metres Breaststroke,Ouro
Aurle Vandendriessche,Masculino,1956,Belgium,BEL,Summer,Melbourne,ATHLETICS,Athletics Men's Marathon,Nenhuma Medalha
Arianna Vanderpool-wallace,Feminino,2008,Bahamas,BAH,Summer,Beijing,SWIMMING,Swimming Women's 100 metres Freestyle,Nenhuma Medalha
Luis Velzquez,Masculino,2004,Puerto Rico,PUR,Summer,Athina,GYMNASTICS,Gymnastics Men's Floor Exercise,Nenhuma Medalha
Dionysios Vasilopoulos,Masculino,1924,Greece,GRE,Summer,Paris,WATER POLO,Water Polo Men's Water Polo,Nenhuma Medalha
Zdenk Vvra,Masculino,1920,Czechoslovakia,TCH,Summer,Antwerpen,FENCING,"Fencing Men's Sabre, Individual",Nenhuma Medalha
Mario Vecchiato,Masculino,1972,Italy,ITA,Summer,Munich,ATHLETICS,Athletics Men's Hammer Throw,Nenhuma Medalha
Lisneidy Crdova,Feminino,2016,Cuba,CUB,Summer,Rio de Janeiro,ATHLETICS,Athletics Women's 4 x 400 metres Relay,Nenhuma Medalha
Vctor Velasco,Masculino,1984,Mexico,MEX,Summer,Los Angeles,CANOEING,"Canoeing Men's Canadian Doubles, 500 metres",Nenhuma Medalha
Guillermo Velsquez,Masculino,1968,Chile,CHI,Summer,Mexico City,BOXING,Boxing Men's Bantamweight,Nenhuma Medalha
Rezs Velez,Masculino,1912,Hungary,HUN,Summer,Stockholm,SHOOTING,"Shooting Men's Military Rifle, Any Position, 600 metres",Nenhuma Medalha
Bende Velin,Feminino,1960,Denmark,DEN,Summer,Roma,DIVING,Diving Women's Platform,Nenhuma Medalha
Kauiza Venncio,Feminino,2016,Brazil,BRA,Summer,Rio de Janeiro,ATHLETICS,Athletics Women's 4 x 100 metres Relay,Nenhuma Medalha
Ivan Veselinov,Masculino,1960,Bulgaria,BUL,Summer,Roma,WEIGHTLIFTING,Weightlifting Men's Heavyweight,Nenhuma Medalha
Bettina Villars,Feminino,1992,Switzerland,SUI,Summer,Barcelona,BADMINTON,Badminton Women's Singles,Nenhuma Medalha
Biserka Vinji,Feminino,1984,Yugoslavia,YUG,Summer,Los Angeles,HANDBALL,Handball Women's Handball,Ouro
Dana (-grant),Feminino,2012,United States,USA,Summer,London,SWIMMING,Swimming Women's 100 metres Butterfly,Ouro
Zoltn Halmay,Masculino,1906,Hungary,HUN,Summer,Athina,SWIMMING,Swimming Men's 100 metres Freestyle,Prata
Aurl Kelemen,Masculino,1924,Hungary-1,HUN,Summer,Paris,TENNIS,Tennis Men's Doubles,Nenhuma Medalha
Jen Zsigmondy,Masculino,1912,Hungary,HUN,Summer,Stockholm,TENNIS,Tennis Men's Singles,Nenhuma Medalha
Mikhail Voronin,Masculino,1968,Soviet Union,URS,Summer,Mexico City,GYMNASTICS,Gymnastics Men's Pommelled Horse,Bronze
Stphane Vossart,Masculino,1992,France,FRA,Summer,Barcelona,SWIMMING,Swimming Men's 200 metres Breaststroke,Nenhuma Medalha
Martin Vrbe,Masculino,1988,Czechoslovakia,TCH,Summer,Seoul,ATHLETICS,Athletics Men's Marathon,Nenhuma Medalha
Yeva Vybornova,Feminino,1996,Ukraine,UKR,Summer,Atlanta,FENCING,"Fencing Women's epee, Individual",Nenhuma Medalha
Roland Waddington,Masculino,1960,Australia,AUS,Summer,Roma,ROWING,Rowing Men's Coxed Fours,Nenhuma Medalha
Dwyane Jr.,Masculino,2004,United States,USA,Summer,Athina,BASKETBALL,Basketball Men's Basketball,Bronze
Otto Wahle,Masculino,1904,Austria,AUT,Summer,St. Louis,SWIMMING,Swimming Men's 440 yard Freestyle,Bronze
Bianca Walkden,Feminino,2016,Great Britain,GBR,Summer,Rio de Janeiro,TAEKWONDO,Taekwondo Women's Heavyweight,Bronze
William Wallace,Masculino,1992,United States,USA,Summer,Barcelona,BASEBALL,Baseball Men's Baseball,Nenhuma Medalha
Roy Walsh,Masculino,1956,Great Britain,GBR,Summer,Melbourne,DIVING,Diving Men's Platform,Nenhuma Medalha
Wang Chongsheng,Masculino,1988,China,CHN,Summer,Seoul,GYMNASTICS,Gymnastics Men's Floor Exercise,Nenhuma Medalha
Wang Hui,Feminino,2012,China,CHN,Summer,London,JUDO,Judo Women's Lightweight,Nenhuma Medalha
Wang Xiaotian,Masculino,1984,China,CHN,Summer,Los Angeles,WATER POLO,Water Polo Men's Water Polo,Nenhuma Medalha
Pascaline Wangui,Feminino,1992,Kenya,KEN,Summer,Barcelona,ATHLETICS,Athletics Women's Marathon,Nenhuma Medalha
Glenn Warfe,Masculino,2008,Australia,AUS,Summer,Beijing,BADMINTON,Badminton Men's Doubles,Nenhuma Medalha
Michael Watson,Masculino,1964,Hong Kong,HKG,Summer,Tokyo,CYCLING,Cycling Men's 100 kilometres Team Time Trial,Nenhuma Medalha
Siegmar Wtzlich,Masculino,1972,East Germany,GDR,Summer,Munich,FOOTBALL,Football Men's Football,Bronze
Silke Wehrmeister,Feminino,1988,West Germany,FRG,Summer,Seoul,HOCKEY,Hockey Women's Hockey,Nenhuma Medalha
Hannah Whelan,Feminino,2008,Great Britain,GBR,Summer,Beijing,GYMNASTICS,Gymnastics Women's Floor Exercise,Nenhuma Medalha
Michael Whitaker,Masculino,2000,Great Britain,GBR,Summer,Sydney,EQUESTRIANISM,"Equestrianism Mixed Jumping, Individual",Nenhuma Medalha
Alan Whitney,Masculino,1972,United States,USA,Summer,Munich,CANOEING,"Canoeing Men's Kayak Doubles, 1,000 metres",Nenhuma Medalha
Alice (-simicak),Feminino,1952,Canada,CAN,Summer,Helsinki,ATHLETICS,Athletics Women's High Jump,Nenhuma Medalha
Dieter Wiedenmann,Masculino,1984,West Germany,FRG,Summer,Los Angeles,ROWING,Rowing Men's Quadruple Sculls,Ouro
Frederick Wight,Masculino,1932,United States,USA,Summer,Los Angeles,ART COMPETITIONS,"Art Competitions Mixed Painting, Unknown Event",Nenhuma Medalha
Josef Wilhelm,Masculino,1924,Switzerland,SUI,Summer,Paris,GYMNASTICS,Gymnastics Men's Individual All-Around,Nenhuma Medalha
Julia Wilkinson,Feminino,2008,Canada,CAN,Summer,Beijing,SWIMMING,Swimming Women's 4 x 100 metres Freestyle Relay,Nenhuma Medalha
Angela Williams,Feminino,1984,Trinidad and Tobago,TTO,Summer,Los Angeles,ATHLETICS,Athletics Women's 200 metres,Nenhuma Medalha
Michael Williams,Masculino,1988,Saint Vincent and the Grenadines,VIN,Summer,Seoul,ATHLETICS,Athletics Men's 400 metres,Nenhuma Medalha
Sonia Williams,Feminino,2008,Antigua and Barbuda,ANT,Summer,Beijing,ATHLETICS,Athletics Women's 100 metres,Nenhuma Medalha
Jacquelene Willmott,Feminino,1980,Great Britain,GBR,Summer,Moskva,SWIMMING,Swimming Women's 400 metres Freestyle,Nenhuma Medalha
Craig Wilson,Masculino,1988,United States,USA,Summer,Seoul,WATER POLO,Water Polo Men's Water Polo,Prata
Pawe Wojciechowski,Masculino,2016,Poland,POL,Summer,Rio de Janeiro,ATHLETICS,Athletics Men's Pole Vault,Nenhuma Medalha
Tomasz Wjtowicz,Masculino,1980,Poland,POL,Summer,Moskva,VOLLEYBALL,Volleyball Men's Volleyball,Nenhuma Medalha
Shoangizaw Worku,Masculino,1972,Ethiopia,ETH,Summer,Munich,ATHLETICS,Athletics Men's 4 x 400 metres Relay,Nenhuma Medalha
Michael Wright,Masculino,1988,Hong Kong,HKG,Summer,Seoul,SWIMMING,Swimming Men's 4 x 100 metres Medley Relay,Nenhuma Medalha
Victoria Wright,Feminino,2004,France,FRA,Summer,Athina,BADMINTON,Badminton Mixed Doubles,Nenhuma Medalha
Xiong Dunhan,Feminino,2016,China,CHN,Summer,Rio de Janeiro,WATER POLO,Water Polo Women's Water Polo,Nenhuma Medalha
Miho Yamada,Feminino,1996,Japan,JPN,Summer,Atlanta,RHYTHMIC GYMNASTICS,Rhythmic Gymnastics Women's Individual,Nenhuma Medalha
Miyuki Yanagita,Feminino,2004,Japan,JPN,Summer,Athina,FOOTBALL,Football Women's Football,Nenhuma Medalha
Iryna Yarotska,Feminino,2004,Ukraine,UKR,Summer,Athina,GYMNASTICS,Gymnastics Women's Balance Beam,Nenhuma Medalha
Yevgeny Yegorov,Masculino,1996,Kazakhstan,KAZ,Summer,Atlanta,CANOEING,"Canoeing Men's Kayak Singles, 500 metres",Nenhuma Medalha
Yeo Hong-cheol,Masculino,1992,South Korea,KOR,Summer,Barcelona,GYMNASTICS,Gymnastics Men's Team All-Around,Nenhuma Medalha
Yernar Yerimbetov,Masculino,2004,Kazakhstan,KAZ,Summer,Athina,GYMNASTICS,Gymnastics Men's Parallel Bars,Nenhuma Medalha
Inna Yoffe,Feminino,2008,Israel,ISR,Summer,Beijing,SYNCHRONIZED SWIMMING,Synchronized Swimming Women's Duet,Nenhuma Medalha
Dancho Yordanov,Masculino,1980,Bulgaria,BUL,Summer,Moskva,GYMNASTICS,Gymnastics Men's Horizontal Bar,Nenhuma Medalha
Kiyoo Yui,Masculino,1964,Japan,JPN,Summer,Tokyo,ATHLETICS,Athletics Men's 400 metres Hurdles,Nenhuma Medalha
Nikolaos Zakharopoulos,Masculino,1960,Greece,GRE,Summer,Roma,SWIMMING,Swimming Men's 200 metres Breaststroke,Nenhuma Medalha
Dietrich Zander,Masculino,1972,East Germany,GDR,Summer,Munich,ROWING,Rowing Men's Coxed Fours,Prata
Krisztina Zantleitner,Feminino,2004,Hungary,HUN,Summer,Athina,WATER POLO,Water Polo Women's Water Polo,Nenhuma Medalha
Violeta Zareva,Feminino,1988,Bulgaria,BUL,Summer,Seoul,ROWING,Rowing Women's Coxed Eights,Nenhuma Medalha
Zeng Xiujun,Feminino,2000,China,CHN,Summer,Sydney,ATHLETICS,Athletics Women's 4 x 100 metres Relay,Nenhuma Medalha
Zhang Changning,Feminino,2016,China,CHN,Summer,Rio de Janeiro,VOLLEYBALL,Volleyball Women's Volleyball,Ouro
Zhang Guojun,Masculino,1984,China,CHN,Summer,Los Angeles,JUDO,Judo Men's Extra-Lightweight,Nenhuma Medalha
Zhang Qiuping,Feminino,1992,China,CHN,Summer,Barcelona,SHOOTING,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Nenhuma Medalha
David Zhuang,Masculino,2000,United States,USA,Summer,Sydney,TABLE TENNIS,Table Tennis Men's Singles,Nenhuma Medalha
Viktor Zubkov,Masculino,1960,Soviet Union,URS,Summer,Roma,BASKETBALL,Basketball Men's Basketball,Prata
Angelo Zucca,Masculino,1976,Italy,ITA,Summer,Montreal,GYMNASTICS,Gymnastics Men's Individual All-Around,Nenhuma Medalha
Enea Zuffi,Masculino,1912,Italy,ITA,Summer,Stockholm,FOOTBALL,Football Men's Football,Nenhuma Medalha
Andreas Zumbach,Masculino,1992,Switzerland,SUI,Summer,Barcelona,SHOOTING,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Nenhuma Medalha
Jos Alberca,Masculino,1992,Spain,ESP,Summer,Barcelona,WEIGHTLIFTING,Weightlifting Men's Bantamweight,Nenhuma Medalha
Seiya Adachi,Masculino,2020,Japan,JPN,Summer,Tokyo,WATER POLO,Men Team,Nenhuma Medalha
Mirambek Ainagulov,Masculino,2020,Kazakhstan,KAZ,Summer,Tokyo,WRESTLING,Men's Greco-Roman 60kg,Nenhuma Medalha
Nasser Alomran,Masculino,2020,Saudi Arabia,KSA,Summer,Tokyo,FOOTBALL,Men Team,Nenhuma Medalha
Ala Alothmani,Masculino,2020,Tunisia,TUN,Summer,Tokyo,SHOOTING,10m Air Pistol Men,Nenhuma Medalha
Yasemin Anagoz,Feminino,2020,Turkey,TUR,Summer,Tokyo,ARCHERY,Mixed Team,Nenhuma Medalha
Yukiya Arashiro,Masculino,2020,Japan,JPN,Summer,Tokyo,CYCLING ROAD,Men's Road Race,Nenhuma Medalha
Jairo Asencio,Masculino,2020,Dominican Republic,DOM,Summer,Tokyo,BASEBALL/SOFTBALL,Baseball Team,Bronze
Lineth Beerensteyn,Feminino,2020,Netherlands,NED,Summer,Tokyo,FOOTBALL,Women Team,Nenhuma Medalha
Meryem Bekmez,Feminino,2020,Turkey,TUR,Summer,Tokyo,ATHLETICS,Women's 20km Race Walk,Nenhuma Medalha
Ali Ben,Masculino,2020,Tunisia,TUN,Summer,Tokyo,VOLLEYBALL,Men Team,Nenhuma Medalha
Elsabeth Black,Feminino,2020,Canada,CAN,Summer,Tokyo,ARTISTIC GYMNASTICS,Women's All-Around,Nenhuma Medalha
Marcin Brzezinski,Masculino,2020,Poland,POL,Summer,Tokyo,ROWING,Men's Four Team,Nenhuma Medalha
Daryl Bultor,Masculino,2020,France,FRA,Summer,Tokyo,VOLLEYBALL,Men Team,Ouro
Francisco Caffaro,Masculino,2020,Argentina,ARG,Summer,Tokyo,BASKETBALL,Men Team,Nenhuma Medalha
Alex Cai,Masculino,2020,Canada,CAN,Summer,Tokyo,FENCING,Men's Foil Team,Nenhuma Medalha
Lloydricia Cameron,Feminino,2020,Jamaica,JAM,Summer,Tokyo,ATHLETICS,Women's Shot Put,Nenhuma Medalha
Jonathan Carlsbogard,Masculino,2020,Sweden,SWE,Summer,Tokyo,HANDBALL,Men Team,Nenhuma Medalha
Svetlana Chimrova,Feminino,2020,Russia,ROC,Summer,Tokyo,SWIMMING,Women's 200m Butterfly,Nenhuma Medalha
Zoey Clark,Feminino,2020,Great Britain,GBR,Summer,Tokyo,ATHLETICS,Women's 4 x 400m Relay Team,Nenhuma Medalha
Laszlo Cseh,Masculino,2020,Hungary,HUN,Summer,Tokyo,SWIMMING,Men's 200m Individual Medley,Nenhuma Medalha
Alejandro Davidovich,Masculino,2020,Spain,ESP,Summer,Tokyo,TENNIS,Men's Doubles Team,Nenhuma Medalha
Alex Davis,Masculino,2020,Great Britain,GBR,Summer,Tokyo,RUGBY SEVENS,Men Team,Nenhuma Medalha
Karyna Demidik,Feminino,2020,Belarus,BLR,Summer,Tokyo,ATHLETICS,Women's High Jump,Nenhuma Medalha
Anton Down-jenkins,Masculino,2020,New Zealand,NZL,Summer,Tokyo,DIVING,Men's 3m Springboard,Nenhuma Medalha
Udby Erichsen,Feminino,2020,Denmark,DEN,Summer,Tokyo,ROWING,Women's Pair Team,Nenhuma Medalha
Victoria Esson,Feminino,2020,New Zealand,NZL,Summer,Tokyo,FOOTBALL,Women Team,Nenhuma Medalha
Naonobu Fujii,Masculino,2020,Japan,JPN,Summer,Tokyo,VOLLEYBALL,Men Team,Nenhuma Medalha
Mete Gazoz,Masculino,2020,Turkey,TUR,Summer,Tokyo,ARCHERY,Men's Individual,Ouro
Rory Gibbs,Masculino,2020,Great Britain,GBR,Summer,Tokyo,ROWING,Men's Four Team,Nenhuma Medalha
Jim Gottfridsson,Masculino,2020,Sweden,SWE,Summer,Tokyo,HANDBALL,Men Team,Nenhuma Medalha
Ramil Guliyev,Masculino,2020,Turkey,TUR,Summer,Tokyo,ATHLETICS,Men's 200m,Nenhuma Medalha
Simon Hansen,Masculino,2020,Denmark,DEN,Summer,Tokyo,ATHLETICS,Men's 4 x 100m Relay Team,Nenhuma Medalha
Tomoru Honda,Masculino,2020,Japan,JPN,Summer,Tokyo,SWIMMING,Men's 200m Butterfly,Prata
Pravin Jadhav,Masculino,2020,India,IND,Summer,Tokyo,ARCHERY,Men's Individual,Nenhuma Medalha
Jihee Jeon,Feminino,2020,South Korea,KOR,Summer,Tokyo,TABLE TENNIS,Women's Team,Nenhuma Medalha
Keldon Johnson,Masculino,2020,United States,USA,Summer,Tokyo,BASKETBALL,Men Team,Ouro
Samu Kerevi,Masculino,2020,Australia,AUS,Summer,Tokyo,RUGBY SEVENS,Men Team,Nenhuma Medalha
Balint Korpasi,Masculino,2020,Hungary,HUN,Summer,Tokyo,WRESTLING,Men's Greco-Roman 67kg,Nenhuma Medalha
Mia Krampl,Feminino,2020,Slovenia,SLO,Summer,Tokyo,SPORT CLIMBING,Women's Combined,Nenhuma Medalha
Elias Kuosmanen,Masculino,2020,Finland,FIN,Summer,Tokyo,WRESTLING,Men's Greco-Roman 130kg,Nenhuma Medalha
Yunseo Lee,Feminino,2020,South Korea,KOR,Summer,Tokyo,ARTISTIC GYMNASTICS,Women's Uneven Bars,Nenhuma Medalha
Chaopan Lin,Masculino,2020,China,CHN,Summer,Tokyo,ARTISTIC GYMNASTICS,Men's Horizontal Bar,Nenhuma Medalha
Gaby Lopez,Feminino,2020,Mexico,MEX,Summer,Tokyo,GOLF,Women's Individual Stroke Play,Nenhuma Medalha
Frederik Madsen,Masculino,2020,Denmark,DEN,Summer,Tokyo,CYCLING TRACK,Men's Team Pursuit Team,Prata
Barbora Mokosova,Feminino,2020,Slovakia,SVK,Summer,Tokyo,ARTISTIC GYMNASTICS,Women's All-Around,Nenhuma Medalha
Myagmarjargal Munkhbat,Feminino,2020,Mongolia,MGL,Summer,Tokyo,BOXING,Women's Middle (69-75kg),Nenhuma Medalha
Anna Nordqvist,Feminino,2020,Sweden,SWE,Summer,Tokyo,GOLF,Women's Individual Stroke Play,Nenhuma Medalha
Adam Ondra,Masculino,2020,Czech Republic,CZE,Summer,Tokyo,SPORT CLIMBING,Men's Combined,Nenhuma Medalha
Herbert Wetter,Masculino,1912,Norway,NOR,Summer,Stockholm,SWIMMING,"Swimming Men's 1,500 metres Freestyle",Nenhuma Medalha
Vladimir Yefimkin,Masculino,2008,Russia,RUS,Summer,Beijing,CYCLING,"Cycling Men's Road Race, Individual",Nenhuma Medalha
Zhou Suhong,Feminino,2008,China,CHN,Summer,Beijing,VOLLEYBALL,Volleyball Women's Volleyball,Bronze
Jerome Guery,Masculino,2020,Belgium,BEL,Summer,Tokyo,EQUESTRIAN,Jumping Team,Bronze
Polina Komar,Feminino,2020,Russia,ROC,Summer,Tokyo,ARTISTIC SWIMMING,Team,Ouro
Mc Rhys,Masculino,2020,Ireland,IRL,Summer,Tokyo,ARTISTIC GYMNASTICS,Men's Pommel Horse,Nenhuma Medalha
