atleta_nome,genero,year,pais,noc,temporada,cidade,esporte,evento,medalha
Wang Haibin,Masculino,1992,China,CHN,Summer,Barcelona,FENCING,"Fencing Men's Foil, Team",Nenhuma Medalha
Wang Jing,Feminino,2008,China,CHN,Summer,Beijing,ATHLETICS,Athletics Women's 100 metres,Nenhuma Medalha
Wang Shian-ming,Masculino,1964,Chinese Taipei,TPE,Summer,Tokyo,GYMNASTICS,Gymnastics Men's Horse Vault,Nenhuma Medalha
Wang Zheng,Feminino,2008,China,CHN,Summer,Beijing,ATHLETICS,Athletics Women's Hammer Throw,Nenhuma Medalha
Jan-Olof Wannius,Masculino,1976,Sweden,SWE,Summer,Montreal,EQUESTRIANISM,"Equestrianism Mixed Jumping, Individual",Nenhuma Medalha
John Wardrop,Masculino,1956,Great Britain,GBR,Summer,Melbourne,SWIMMING,Swimming Men's 4 x 200 metres Freestyle Relay,Nenhuma Medalha
Kenneth Wark,Masculino,1992,Australia,AUS,Summer,Barcelona,HOCKEY,Hockey Men's Hockey,Prata
Jean Washer,Masculino,1924,Belgium-2,BEL,Summer,Paris,TENNIS,Tennis Mixed Doubles,Nenhuma Medalha
Kazuki Watanabe,Masculino,2012,Japan,JPN,Summer,London,SWIMMING,Swimming Men's 200 metres Backstroke,Nenhuma Medalha
Alison Webb,Feminino,1992,Canada,CAN,Summer,Barcelona,JUDO,Judo Women's Half-Heavyweight,Nenhuma Medalha
Ernest Webb,Masculino,1908,Great Britain,GBR,Summer,London,ATHLETICS,Athletics Men's 10 mile Walk,Prata
Franz Wenninger,Masculino,1936,Austria,AUT,Summer,Berlin,WATER POLO,Water Polo Men's Water Polo,Nenhuma Medalha
Joachim Wenzke,Masculino,1968,East Germany,GDR,Summer,Mexico City,CANOEING,"Canoeing Men's Kayak Fours, 1,000 metres",Nenhuma Medalha
Gerhard Werner,Masculino,1976,West Germany,FRG,Summer,Montreal,MODERN PENTATHLON,Modern Pentathlon Men's Team,Nenhuma Medalha
Andr Weels,Masculino,2004,Germany,GER,Summer,Athina,FENCING,"Fencing Men's Foil, Individual",Nenhuma Medalha
